zone_id,zone_name,category,criticality_score,hour,demand_kwh,backup_capacity_kwh,cumulative_outage_hours
Z002,Hospital_2,hospital,10,15,36.77,17.2,
Z002,Hospital_2,hospital,10,16,40.4,17.2,
Z002,Hospital_2,hospital,10,17,34.03,17.2,
Z002,Hospital_2,hospital,10,18,37.57,17.2,
Z002,Hospital_2,hospital,10,19,36.5,17.2,
Z002,Hospital_2,hospital,10,20,34.88,17.2,
Z002,Hospital_2,hospital,10,21,34.9,17.2,
Z002,Hospital_2,hospital,10,22,36.96,17.2,
Z002,Hospital_2,hospital,10,23,37.65,17.2,
Z002,Hospital_2,hospital,10,24,35.15,17.2,
Z002,Hospital_2,hospital,10,25,35.98,17.2,
Z002,Hospital_2,hospital,10,26,36.91,17.2,
Z002,Hospital_2,hospital,10,27,35.51,17.2,
Z002,Hospital_2,hospital,10,28,36.23,17.2,
Z002,Hospital_2,hospital,10,29,34.99,17.2,
Z002,Hospital_2,hospital,10,30,34.74,17.2,
Z002,Hospital_2,hospital,10,31,37.25,17.2,
Z002,Hospital_2,hospital,10,32,34.76,17.2,
Z002,Hospital_2,hospital,10,33,33.83,17.2,
Z002,Hospital_2,hospital,10,34,35.19,17.2,
Z002,Hospital_2,hospital,10,35,32.17,17.2,
Z002,Hospital_2,hospital,10,36,33.74,17.2,
Z002,Hospital_2,hospital,10,37,36.55,17.2,
Z002,Hospital_2,hospital,10,38,36.71,17.2,
Z002,Hospital_2,hospital,10,39,39.19,17.2,
Z002,Hospital_2,hospital,10,40,36.33,17.2,
Z002,Hospital_2,hospital,10,41,33.48,17.2,
Z002,Hospital_2,hospital,10,42,41.32,17.2,
Z002,Hospital_2,hospital,10,43,39.62,17.2,
Z002,Hospital_2,hospital,10,44,34.88,17.2,
Z002,Hospital_2,hospital,10,45,40.25,17.2,
Z002,Hospital_2,hospital,10,46,37.07,17.2,
Z002,Hospital_2,hospital,10,47,32.71,17.2,
Z003,ColdStorage_WaterPump_1,cold_storage_water,7,0,19.95,0,1
Z003,ColdStorage_WaterPump_1,cold_storage_water,7,1,17.89,0,
Z003,ColdStorage_WaterPump_1,cold_storage_water,7,2,19.86,0,
Z003,ColdStorage_WaterPump_1,cold_storage_water,7,3,17.27,0,
Z003,ColdStorage_WaterPump_1,cold_storage_water,7,4,17.86,0,
Z003,ColdStorage_WaterPump_1,cold_storage_water,7,5,17.83,0,
Z003,ColdStorage_WaterPump_1,cold_storage_water,7,6,17.72,0,
Z003,ColdStorage_WaterPump_1,cold_storage_water,7,7,17.14,0,
Z003,ColdStorage_WaterPump_1,cold_storage_water,7,8,18.37,0,
Z003,ColdStorage_WaterPump_1,cold_storage_water,7,9,19.31,0,
Z003,ColdStorage_WaterPump_1,cold_storage_water,7,10,18.81,0,
Z003,ColdStorage_WaterPump_1,cold_storage_water,7,11,17.43,0,
Z003,ColdStorage_WaterPump_1,cold_storage_water,7,12,19.05,0,
Z003,ColdStorage_WaterPump_1,cold_storage_water,7,13,22.64,0,
Z003,ColdStorage_WaterPump_1,cold_storage_water,7,14,23.32,0,
Z003,ColdStorage_WaterPump_1,cold_storage_water,7,15,24.93,0,
Z003,ColdStorage_WaterPump_1,cold_storage_water,7,16,23.29,0,
Z003,ColdStorage_WaterPump_1,cold_storage_water,7,17,28.94,0,
Z003,ColdStorage_WaterPump_1,cold_storage_water,7,18,27.33,0,
Z003,ColdStorage_WaterPump_1,cold_storage_water,7,19,24.39,0,
Z003,ColdStorage_WaterPump_1,cold_storage_water,7,20,27.32,0,
Z003,ColdStorage_WaterPump_1,cold_storage_water,7,21,27.99,0,
Z003,ColdStorage_WaterPump_1,cold_storage_water,7,22,20.86,0,
Z003,ColdStorage_WaterPump_1,cold_storage_water,7,23,21.74,0,
Z003,ColdStorage_WaterPump_1,cold_storage_water,7,24,19.99,0,
Z003,ColdStorage_WaterPump_1,cold_storage_water,7,25,19.17,0,
Z003,ColdStorage_WaterPump_1,cold_storage_water,7,26,18,0,
Z003,ColdStorage_WaterPump_1,cold_storage_water,7,27,17.88,0,
Z003,ColdStorage_WaterPump_1,cold_storage_water,7,28,18.07,0,
Z003,ColdStorage_WaterPump_1,cold_storage_water,7,29,20.15,0,
Z003,ColdStorage_WaterPump_1,cold_storage_water,7,30,20.48,0,
Z003,ColdStorage_WaterPump_1,cold_storage_water,7,31,17.56,0,
Z003,ColdStorage_WaterPump_1,cold_storage_water,7,32,17.13,0,
Z003,ColdStorage_WaterPump_1,cold_storage_water,7,33,21.06,0,
Z003,ColdStorage_WaterPump_1,cold_storage_water,7,34,17.07,0,
Z003,ColdStorage_WaterPump_1,cold_storage_water,7,35,17.82,0,
Z003,ColdStorage_WaterPump_1,cold_storage_water,7,36,20.51,0,
Z003,ColdStorage_WaterPump_1,cold_storage_water,7,37,23.13,0,
Z003,ColdStorage_WaterPump_1,cold_storage_water,7,38,25.85,0,
Z003,ColdStorage_WaterPump_1,cold_storage_water,7,39,26.51,0,
Z003,ColdStorage_WaterPump_1,cold_storage_water,7,40,24.55,0,
Z003,ColdStorage_WaterPump_1,cold_storage_water,7,41,26.69,0,
Z003,ColdStorage_WaterPump_1,cold_storage_water,7,42,26.29,0,
Z003,ColdStorage_WaterPump_1,cold_storage_water,7,43,28.82,0,
Z003,ColdStorage_WaterPump_1,cold_storage_water,7,44,25.88,0,
Z003,ColdStorage_WaterPump_1,cold_storage_water,7,45,23.83,0,
Z003,ColdStorage_WaterPump_1,cold_storage_water,7,46,22.82,0,
Z003,ColdStorage_WaterPump_1,cold_storage_water,7,47,24.43,0,
Z004,ColdStorage_WaterPump_2,cold_storage_water,7,0,29.08,0,6
Z004,ColdStorage_WaterPump_2,cold_storage_water,7,1,23.68,0,
Z004,ColdStorage_WaterPump_2,cold_storage_water,7,2,25.71,0,
Z004,ColdStorage_WaterPump_2,cold_storage_water,7,3,26.63,0,
Z004,ColdStorage_WaterPump_2,cold_storage_water,7,4,28.53,0,
Z004,ColdStorage_WaterPump_2,cold_storage_water,7,5,25.01,0,
Z004,ColdStorage_WaterPump_2,cold_storage_water,7,6,27.7,0,
Z004,ColdStorage_WaterPump_2,cold_storage_water,7,7,27.9,0,
Z004,ColdStorage_WaterPump_2,cold_storage_water,7,8,25.52,0,
Z004,ColdStorage_WaterPump_2,cold_storage_water,7,9,26.33,0,
Z004,ColdStorage_WaterPump_2,cold_storage_water,7,10,29.46,0,
Z004,ColdStorage_WaterPump_2,cold_storage_water,7,11,29.9,0,
Z004,ColdStorage_WaterPump_2,cold_storage_water,7,12,31.6,0,
Z004,ColdStorage_WaterPump_2,cold_storage_water,7,13,33.67,0,
Z004,ColdStorage_WaterPump_2,cold_storage_water,7,14,38.21,0,
Z004,ColdStorage_WaterPump_2,cold_storage_water,7,15,37.73,0,
Z004,ColdStorage_WaterPump_2,cold_storage_water,7,16,37.83,0,
Z004,ColdStorage_WaterPump_2,cold_storage_water,7,17,36.08,0,
Z004,ColdStorage_WaterPump_2,cold_storage_water,7,18,38.06,0,
Z004,ColdStorage_WaterPump_2,cold_storage_water,7,19,37.86,0,
Z004,ColdStorage_WaterPump_2,cold_storage_water,7,20,44.38,0,
Z004,ColdStorage_WaterPump_2,cold_storage_water,7,21,37.61,0,
Z004,ColdStorage_WaterPump_2,cold_storage_water,7,22,38.49,0,
Z004,ColdStorage_WaterPump_2,cold_storage_water,7,23,35.63,0,
Z004,ColdStorage_WaterPump_2,cold_storage_water,7,24,29.72,0,
Z004,ColdStorage_WaterPump_2,cold_storage_water,7,25,29,0,
Z004,ColdStorage_WaterPump_2,cold_storage_water,7,26,23.15,0,
Z004,ColdStorage_WaterPump_2,cold_storage_water,7,27,26.78,0,
Z004,ColdStorage_WaterPump_2,cold_storage_water,7,28,28,0,
Z004,ColdStorage_WaterPump_2,cold_storage_water,7,29,22.8,0,
Z004,ColdStorage_WaterPump_2,cold_storage_water,7,30,24.78,0,
Z004,ColdStorage_WaterPump_2,cold_storage_water,7,31,28.32,0,
Z004,ColdStorage_WaterPump_2,cold_storage_water,7,32,26.22,0,
Z004,ColdStorage_WaterPump_2,cold_storage_water,7,33,24.88,0,
Z004,ColdStorage_WaterPump_2,cold_storage_water,7,34,26.04,0,
Z004,ColdStorage_WaterPump_2,cold_storage_water,7,35,26.22,0,
Z004,ColdStorage_WaterPump_2,cold_storage_water,7,36,31.36,0,
Z004,ColdStorage_WaterPump_2,cold_storage_water,7,37,33.91,0,
Z004,ColdStorage_WaterPump_2,cold_storage_water,7,38,35.16,0,
Z004,ColdStorage_WaterPump_2,cold_storage_water,7,39,36.53,0,
Z004,ColdStorage_WaterPump_2,cold_storage_water,7,40,37.92,0,
Z004,ColdStorage_WaterPump_2,cold_storage_water,7,41,41.07,0,
Z004,ColdStorage_WaterPump_2,cold_storage_water,7,42,38.84,0,
Z004,ColdStorage_WaterPump_2,cold_storage_water,7,43,39.51,0,
Z004,ColdStorage_WaterPump_2,cold_storage_water,7,44,37.7,0,
Z004,ColdStorage_WaterPump_2,cold_storage_water,7,45,35.1,0,
Z004,ColdStorage_WaterPump_2,cold_storage_water,7,46,34.24,0,
Z004,ColdStorage_WaterPump_2,cold_storage_water,7,47,34.3,0,
Z005,School_Institution_1,school_institutional,5,0,1.08,24.31,5
Z005,School_Institution_1,school_institutional,5,1,1.02,24.31,
Z005,School_Institution_1,school_institutional,5,2,0.97,24.31,
Z005,School_Institution_1,school_institutional,5,3,1.72,24.31,
Z005,School_Institution_1,school_institutional,5,4,2.85,24.31,
Z005,School_Institution_1,school_institutional,5,5,4.56,24.31,
Z005,School_Institution_1,school_institutional,5,6,6.85,24.31,
Z005,School_Institution_1,school_institutional,5,7,10.02,24.31,
Z005,School_Institution_1,school_institutional,5,8,13.29,24.31,
Z005,School_Institution_1,school_institutional,5,9,17.19,24.31,
Z005,School_Institution_1,school_institutional,5,10,20.05,24.31,
Z005,School_Institution_1,school_institutional,5,11,22.53,24.31,
Z005,School_Institution_1,school_institutional,5,12,22.57,24.31,
Z005,School_Institution_1,school_institutional,5,13,20.44,24.31,
Z005,School_Institution_1,school_institutional,5,14,18.93,24.31,
Z005,School_Institution_1,school_institutional,5,15,16.73,24.31,
Z005,School_Institution_1,school_institutional,5,16,12.81,24.31,
Z005,School_Institution_1,school_institutional,5,17,10.18,24.31,
Z005,School_Institution_1,school_institutional,5,18,7.47,24.31,
Z005,School_Institution_1,school_institutional,5,19,4.43,24.31,
Z005,School_Institution_1,school_institutional,5,20,2.6,24.31,
Z005,School_Institution_1,school_institutional,5,21,1.84,24.31,
Z005,School_Institution_1,school_institutional,5,22,1.08,24.31,
Z005,School_Institution_1,school_institutional,5,23,1.12,24.31,
Z005,School_Institution_1,school_institutional,5,24,0.99,24.31,
Z005,School_Institution_1,school_institutional,5,25,1.19,24.31,
Z005,School_Institution_1,school_institutional,5,26,1.12,24.31,
Z005,School_Institution_1,school_institutional,5,27,1.7,24.31,
Z005,School_Institution_1,school_institutional,5,28,2.85,24.31,
Z005,School_Institution_1,school_institutional,5,29,4.69,24.31,
Z005,School_Institution_1,school_institutional,5,30,6.92,24.31,
Z005,School_Institution_1,school_institutional,5,31,9.69,24.31,
Z005,School_Institution_1,school_institutional,5,32,12.18,24.31,
Z005,School_Institution_1,school_institutional,5,33,17.48,24.31,
Z005,School_Institution_1,school_institutional,5,34,18.95,24.31,
Z005,School_Institution_1,school_institutional,5,35,20.96,24.31,
Z005,School_Institution_1,school_institutional,5,36,21.64,24.31,
Z005,School_Institution_1,school_institutional,5,37,17.91,24.31,
Z005,School_Institution_1,school_institutional,5,38,19.6,24.31,
Z005,School_Institution_1,school_institutional,5,39,15.93,24.31,
Z005,School_Institution_1,school_institutional,5,40,12.83,24.31,
Z005,School_Institution_1,school_institutional,5,41,9.9,24.31,
Z005,School_Institution_1,school_institutional,5,42,6.58,24.31,
Z005,School_Institution_1,school_institutional,5,43,4.89,24.31,
Z005,School_Institution_1,school_institutional,5,44,2.79,24.31,
Z005,School_Institution_1,school_institutional,5,45,1.62,24.31,
Z005,School_Institution_1,school_institutional,5,46,1.02,24.31,
Z005,School_Institution_1,school_institutional,5,47,1.09,24.31,
Z006,School_Institution_2,school_institutional,5,0,1.09,0,5
Z006,School_Institution_2,school_institutional,5,1,1.01,0,
Z006,School_Institution_2,school_institutional,5,2,0.95,0,
Z006,School_Institution_2,school_institutional,5,3,1.77,0,
Z006,School_Institution_2,school_institutional,5,4,2.65,0,
Z006,School_Institution_2,school_institutional,5,5,4.84,0,
Z006,School_Institution_2,school_institutional,5,6,6.76,0,
Z006,School_Institution_2,school_institutional,5,7,9.16,0,
Z006,School_Institution_2,school_institutional,5,8,12.18,0,
Z006,School_Institution_2,school_institutional,5,9,16.2,0,
Z006,School_Institution_2,school_institutional,5,10,19.42,0,
Z006,School_Institution_2,school_institutional,5,11,20,0,
Z006,School_Institution_2,school_institutional,5,12,22.07,0,
Z006,School_Institution_2,school_institutional,5,13,22.78,0,
Z006,School_Institution_2,school_institutional,5,14,18.2,0,
Z006,School_Institution_2,school_institutional,5,15,14.68,0,
Z006,School_Institution_2,school_institutional,5,16,11.87,0,
Z006,School_Institution_2,school_institutional,5,17,8.76,0,
Z006,School_Institution_2,school_institutional,5,18,6.52,0,
Z006,School_Institution_2,school_institutional,5,19,4.32,0,
Z006,School_Institution_2,school_institutional,5,20,2.6,0,
Z006,School_Institution_2,school_institutional,5,21,1.71,0,
Z006,School_Institution_2,school_institutional,5,22,0.88,0,
Z006,School_Institution_2,school_institutional,5,23,0.96,0,
Z006,School_Institution_2,school_institutional,5,24,1.17,0,
Z006,School_Institution_2,school_institutional,5,25,1.11,0,
Z006,School_Institution_2,school_institutional,5,26,1.08,0,
Z006,School_Institution_2,school_institutional,5,27,1.71,0,
Z006,School_Institution_2,school_institutional,5,28,3.13,0,
Z006,School_Institution_2,school_institutional,5,29,4.66,0,
Z006,School_Institution_2,school_institutional,5,30,6.81,0,
Z006,School_Institution_2,school_institutional,5,31,8.86,0,
Z006,School_Institution_2,school_institutional,5,32,12.61,0,
Z006,School_Institution_2,school_institutional,5,33,15.07,0,
Z006,School_Institution_2,school_institutional,5,34,17.65,0,
Z006,School_Institution_2,school_institutional,5,35,19.38,0,
Z006,School_Institution_2,school_institutional,5,36,20.83,0,
Z006,School_Institution_2,school_institutional,5,37,19.84,0,
Z006,School_Institution_2,school_institutional,5,38,19.4,0,
Z006,School_Institution_2,school_institutional,5,39,14.51,0,
Z006,School_Institution_2,school_institutional,5,40,12.54,0,
Z006,School_Institution_2,school_institutional,5,41,10.63,0,
Z006,School_Institution_2,school_institutional,5,42,6.8,0,
Z006,School_Institution_2,school_institutional,5,43,4.84,0,
Z006,School_Institution_2,school_institutional,5,44,3.02,0,
Z006,School_Institution_2,school_institutional,5,45,1.79,0,
Z006,School_Institution_2,school_institutional,5,46,1.09,0,
Z006,School_Institution_2,school_institutional,5,47,0.96,0,
Z007,School_Institution_3,school_institutional,5,0,1.24,0,6
Z007,School_Institution_3,school_institutional,5,1,1.23,0,
Z007,School_Institution_3,school_institutional,5,2,1.14,0,
Z007,School_Institution_3,school_institutional,5,3,1.95,0,
Z007,School_Institution_3,school_institutional,5,4,3.15,0,
Z007,School_Institution_3,school_institutional,5,5,4.9,0,
Z007,School_Institution_3,school_institutional,5,6,8.27,0,
Z007,School_Institution_3,school_institutional,5,7,11.48,0,
Z007,School_Institution_3,school_institutional,5,8,14.62,0,
Z007,School_Institution_3,school_institutional,5,9,17.9,0,
Z007,School_Institution_3,school_institutional,5,10,21.47,0,
Z007,School_Institution_3,school_institutional,5,11,23.8,0,
Z007,School_Institution_3,school_institutional,5,12,24.53,0,
Z007,School_Institution_3,school_institutional,5,13,24.3,0,
Z007,School_Institution_3,school_institutional,5,14,21.62,0,
Z007,School_Institution_3,school_institutional,5,15,19.43,0,
Z007,School_Institution_3,school_institutional,5,16,15.73,0,
Z007,School_Institution_3,school_institutional,5,17,11.76,0,
Z007,School_Institution_3,school_institutional,5,18,7.84,0,
Z007,School_Institution_3,school_institutional,5,19,5.24,0,
Z007,School_Institution_3,school_institutional,5,20,3.49,0,
Z007,School_Institution_3,school_institutional,5,21,1.98,0,
Z007,School_Institution_3,school_institutional,5,22,1.25,0,
Z007,School_Institution_3,school_institutional,5,23,1.07,0,
Z007,School_Institution_3,school_institutional,5,24,1.05,0,
Z007,School_Institution_3,school_institutional,5,25,1.28,0,
Z007,School_Institution_3,school_institutional,5,26,1.28,0,
Z007,School_Institution_3,school_institutional,5,27,2.17,0,
Z007,School_Institution_3,school_institutional,5,28,3.55,0,
Z007,School_Institution_3,school_institutional,5,29,5.51,0,
Z007,School_Institution_3,school_institutional,5,30,8.17,0,
Z007,School_Institution_3,school_institutional,5,31,10.53,0,
Z007,School_Institution_3,school_institutional,5,32,16.06,0,
Z007,School_Institution_3,school_institutional,5,33,18.3,0,
Z007,School_Institution_3,school_institutional,5,34,22.86,0,
Z007,School_Institution_3,school_institutional,5,35,24.67,0,
Z007,School_Institution_3,school_institutional,5,36,25.56,0,
Z007,School_Institution_3,school_institutional,5,37,25.68,0,
Z007,School_Institution_3,school_institutional,5,38,21.54,0,
Z007,School_Institution_3,school_institutional,5,39,18.54,0,
Z007,School_Institution_3,school_institutional,5,40,14.47,0,
Z007,School_Institution_3,school_institutional,5,41,11.25,0,
Z007,School_Institution_3,school_institutional,5,42,8.98,0,
Z007,School_Institution_3,school_institutional,5,43,5.32,0,
Z007,School_Institution_3,school_institutional,5,44,3.65,0,
Z007,School_Institution_3,school_institutional,5,45,2.1,0,
Z007,School_Institution_3,school_institutional,5,46,1.31,0,
Z007,School_Institution_3,school_institutional,5,47,1.32,0,
Z008,School_Institution_4,school_institutional,5,0,0.9,5.26,3
Z008,School_Institution_4,school_institutional,5,1,0.97,5.26,
Z008,School_Institution_4,school_institutional,5,2,1.04,5.26,
Z008,School_Institution_4,school_institutional,5,3,1.45,5.26,
Z008,School_Institution_4,school_institutional,5,4,2.57,5.26,
Z008,School_Institution_4,school_institutional,5,5,3.95,5.26,
Z008,School_Institution_4,school_institutional,5,6,6.31,5.26,
Z008,School_Institution_4,school_institutional,5,7,8.17,5.26,
Z008,School_Institution_4,school_institutional,5,8,12.68,5.26,
Z008,School_Institution_4,school_institutional,5,9,14.07,5.26,
Z008,School_Institution_4,school_institutional,5,10,15.27,5.26,
Z008,School_Institution_4,school_institutional,5,11,20.47,5.26,
Z008,School_Institution_4,school_institutional,5,12,20.18,5.26,
Z008,School_Institution_4,school_institutional,5,13,19.06,5.26,
Z008,School_Institution_4,school_institutional,5,14,17.37,5.26,
Z008,School_Institution_4,school_institutional,5,15,14.09,5.26,
Z008,School_Institution_4,school_institutional,5,16,11.41,5.26,
Z008,School_Institution_4,school_institutional,5,17,9.11,5.26,
Z008,School_Institution_4,school_institutional,5,18,6.53,5.26,
Z008,School_Institution_4,school_institutional,5,19,4.36,5.26,
Z008,School_Institution_4,school_institutional,5,20,2.61,5.26,
Z008,School_Institution_4,school_institutional,5,21,1.47,5.26,
Z008,School_Institution_4,school_institutional,5,22,0.94,5.26,
Z008,School_Institution_4,school_institutional,5,23,1.02,5.26,
Z008,School_Institution_4,school_institutional,5,24,1.04,5.26,
Z008,School_Institution_4,school_institutional,5,25,0.93,5.26,
Z008,School_Institution_4,school_institutional,5,26,0.93,5.26,
Z008,School_Institution_4,school_institutional,5,27,1.63,5.26,
Z008,School_Institution_4,school_institutional,5,28,2.69,5.26,
Z008,School_Institution_4,school_institutional,5,29,4.3,5.26,
Z008,School_Institution_4,school_institutional,5,30,5.7,5.26,
Z008,School_Institution_4,school_institutional,5,31,8.54,5.26,
Z008,School_Institution_4,school_institutional,5,32,11.21,5.26,
Z008,School_Institution_4,school_institutional,5,33,14.58,5.26,
Z008,School_Institution_4,school_institutional,5,34,15.13,5.26,
Z008,School_Institution_4,school_institutional,5,35,19.9,5.26,
Z008,School_Institution_4,school_institutional,5,36,19.42,5.26,
Z008,School_Institution_4,school_institutional,5,37,18.97,5.26,
Z008,School_Institution_4,school_institutional,5,38,15.63,5.26,
Z008,School_Institution_4,school_institutional,5,39,14.37,5.26,
Z008,School_Institution_4,school_institutional,5,40,12.49,5.26,
Z008,School_Institution_4,school_institutional,5,41,7.91,5.26,
Z008,School_Institution_4,school_institutional,5,42,6.31,5.26,
Z008,School_Institution_4,school_institutional,5,43,4.3,5.26,
Z008,School_Institution_4,school_institutional,5,44,2.47,5.26,
Z008,School_Institution_4,school_institutional,5,45,1.59,5.26,
Z008,School_Institution_4,school_institutional,5,46,0.93,5.26,
Z008,School_Institution_4,school_institutional,5,47,1.02,5.26,
Z009,Commercial_1,commercial,3,0,3.66,6.88,3
Z009,Commercial_1,commercial,3,1,3.94,6.88,
Z009,Commercial_1,commercial,3,2,4.95,6.88,
Z009,Commercial_1,commercial,3,3,5.47,6.88,
Z009,Commercial_1,commercial,3,4,6.8,6.88,
Z009,Commercial_1,commercial,3,5,7.18,6.88,
Z009,Commercial_1,commercial,3,6,9.12,6.88,
Z009,Commercial_1,commercial,3,7,12.06,6.88,
Z009,Commercial_1,commercial,3,8,14.3,6.88,
Z009,Commercial_1,commercial,3,9,15.49,6.88,
Z009,Commercial_1,commercial,3,10,17.99,6.88,
Z009,Commercial_1,commercial,3,11,17.15,6.88,
Z009,Commercial_1,commercial,3,12,19.06,6.88,
Z009,Commercial_1,commercial,3,13,17.49,6.88,
Z009,Commercial_1,commercial,3,14,18.81,6.88,
Z009,Commercial_1,commercial,3,15,17.6,6.88,
Z009,Commercial_1,commercial,3,16,17.41,6.88,
Z009,Commercial_1,commercial,3,17,18.31,6.88,
Z009,Commercial_1,commercial,3,18,20.06,6.88,
Z009,Commercial_1,commercial,3,19,16.02,6.88,
Z009,Commercial_1,commercial,3,20,14.37,6.88,
Z009,Commercial_1,commercial,3,21,12.74,6.88,
Z009,Commercial_1,commercial,3,22,8.73,6.88,
Z009,Commercial_1,commercial,3,23,7.17,6.88,
Z009,Commercial_1,commercial,3,24,3.6,6.88,
Z009,Commercial_1,commercial,3,25,3.91,6.88,
Z009,Commercial_1,commercial,3,26,4.52,6.88,
Z009,Commercial_1,commercial,3,27,5.75,6.88,
Z009,Commercial_1,commercial,3,28,6.55,6.88,
Z009,Commercial_1,commercial,3,29,7.98,6.88,
Z009,Commercial_1,commercial,3,30,9.63,6.88,
Z009,Commercial_1,commercial,3,31,10.41,6.88,
Z009,Commercial_1,commercial,3,32,12.85,6.88,
Z009,Commercial_1,commercial,3,33,16.93,6.88,
Z009,Commercial_1,commercial,3,34,18.04,6.88,
Z009,Commercial_1,commercial,3,35,18.87,6.88,
Z009,Commercial_1,commercial,3,36,19.54,6.88,
Z009,Commercial_1,commercial,3,37,18.17,6.88,
Z009,Commercial_1,commercial,3,38,18.81,6.88,
Z009,Commercial_1,commercial,3,39,17.15,6.88,
Z009,Commercial_1,commercial,3,40,18.53,6.88,
Z009,Commercial_1,commercial,3,41,17.47,6.88,
Z009,Commercial_1,commercial,3,42,17.86,6.88,
Z009,Commercial_1,commercial,3,43,17.52,6.88,
Z009,Commercial_1,commercial,3,44,14.61,6.88,
Z009,Commercial_1,commercial,3,45,12.44,6.88,
Z009,Commercial_1,commercial,3,46,9.2,6.88,
Z009,Commercial_1,commercial,3,47,6.62,6.88,
Z010,Commercial_2,commercial,3,0,4.38,0,6
Z010,Commercial_2,commercial,3,1,4.05,0,
Z010,Commercial_2,commercial,3,2,4.57,0,
Z010,Commercial_2,commercial,3,3,6.17,0,
Z010,Commercial_2,commercial,3,4,7.61,0,
Z010,Commercial_2,commercial,3,5,9.91,0,
Z010,Commercial_2,commercial,3,6,11.34,0,
Z010,Commercial_2,commercial,3,7,13.78,0,
Z010,Commercial_2,commercial,3,8,14.69,0,
Z010,Commercial_2,commercial,3,9,18.58,0,
Z010,Commercial_2,commercial,3,10,20.45,0,
Z010,Commercial_2,commercial,3,11,19.61,0,
Z010,Commercial_2,commercial,3,12,20.36,0,
Z010,Commercial_2,commercial,3,13,21.33,0,
Z010,Commercial_2,commercial,3,14,21.44,0,
Z010,Commercial_2,commercial,3,15,17.07,0,
Z010,Commercial_2,commercial,3,16,20.79,0,
